dataset,optimizer,best_params,best_mean_val_loss,best_std_val_loss,best_mean_time,best_std_time,selected_params,selected_mean_val_loss,selected_std_val_loss,selected_mean_time,selected_std_time,time_ratio_selected_over_best,threshold,se_best,n_candidates
sine,lfrog,"{""convergence_tol"": 0.0001, ""dt"": 0.5, ""max_step"": 0.1}",0.01430581882596016,0.000498575772530914,0.008822361628214518,0.00025740185774407643,"{""convergence_tol"": 1e-05, ""dt"": 0.5, ""max_step"": 0.1}",0.01430581882596016,0.000498575772530914,0.008709033330281576,0.0003536171304342849,0.9871544261379505,0.014593671682442308,0.0002878528564821489,3
sine,scg,"{""lambda_init"": 1e-05, ""sigma"": 0.0005}",0.011610752282043299,0.00016229833117283854,0.015139579772949219,0.0007200803429494404,"{""lambda_init"": 1e-07, ""sigma"": 0.0005}",0.011610815301537514,0.00016238218000292576,0.01419973373413086,0.0003478884106694068,0.9379212598425197,0.011704455267234964,9.370298519166537e-05,3
sine,sgd,"{""lr"": 0.1, ""momentum"": 0.5}",0.012093958134452501,0.0007458037558804052,0.22289768854777017,0.006588284002981625,"{""lr"": 0.01, ""momentum"": 0.9}",0.012121621829768022,0.0004169715380913863,0.21988526980082193,0.0020426068730029045,0.9864851952186008,0.012524548133672687,0.0004305899992201859,2
stroke,lfrog,"{""convergence_tol"": 0.0001, ""dt"": 0.5, ""max_step"": 0.1}",0.16712713241577148,0.0021272123825301866,0.020007530848185223,0.00010789704439065874,"{""convergence_tol"": 0.0001, ""dt"": 0.5, ""max_step"": 0.1}",0.16712713241577148,0.0021272123825301866,0.020007530848185223,0.00010789704439065874,1.0,0.1683552790574488,0.0012281466416773086,3
stroke,scg,"{""lambda_init"": 0.0001, ""sigma"": 1e-05}",0.16656625270843506,0.001719776576539577,0.033332268397013344,0.0001294953611890583,"{""lambda_init"": 1e-06, ""sigma"": 1e-05}",0.16656625270843506,0.001719776576539577,0.03331836064656576,0.0001340588658812024,0.9995827541563648,0.1675591661778462,0.000992913469411138,20
stroke,sgd,"{""lr"": 0.01, ""momentum"": 0.9}",0.16471371054649353,0.000736167761663465,1.3917215665181477,0.012511735676735572,"{""lr"": 0.005, ""momentum"": 0.9}",0.16495144863923392,0.0010131106276511515,1.4015730222066243,0.0211429504513428,1.0070786110709797,0.16513873720185865,0.0004250266553651258,2
wine,lfrog,"{""convergence_tol"": 0.0001, ""dt"": 0.5, ""max_step"": 1.0}",0.49174116055170697,0.0035317447141760866,0.015437602996826172,0.0010679919201477884,"{""convergence_tol"": 0.0001, ""dt"": 0.5, ""max_step"": 1.0}",0.49174116055170697,0.0035317447141760866,0.015437602996826172,0.0010679919201477884,1.0,0.49378021431314556,0.0020390537614386017,3
wine,scg,"{""lambda_init"": 1e-07, ""sigma"": 5e-05}",0.49570955832799274,0.004805573057504075,0.029718319574991863,0.001618710974942854,"{""lambda_init"": 0.0001, ""sigma"": 1e-05}",0.4978850483894348,0.004299246049210653,0.026610692342122395,0.0004229987882444553,0.8954305870145984,0.49848405722635314,0.0027744988983603907,4
wine,sgd,"{""lr"": 0.01, ""momentum"": 0.5}",0.4821049173672994,0.00587513088949196,1.4183666706085205,0.009881607960418549,"{""lr"": 0.005, ""momentum"": 0.9}",0.4828883806864421,0.011152990218070988,1.4314841429392497,0.009274889768980546,1.0092482942546173,0.48549692576787185,0.003392008400572469,3
