dataset,optimizer,hidden_dim,params,n_runs,mean_final_test_loss,std_final_test_loss,mean_time_sec,mean_accuracy,std_accuracy,mean_f1_weighted,std_f1_weighted,opt_target_loss,target_delta,mean_time_to_target_sec,std_time_to_target_sec,n_reached_target,mean_mse,std_mse,mean_r2,std_r2
iris,sgd,16,"{'lr': 0.01, 'momentum': 0.9}",3,0.13959985474745432,0.009103498055169135,0.1322463353474935,0.9420289855072465,0.020495848730044893,0.941455229434769,0.021066134717118004,0.130670245885849,0.02,0.12709999084472656,0.0,1,,,,
iris,scg,16,"{'lambda_init': 1e-07, 'sigma': 0.0005}",3,0.4562838176886241,0.051207555509301714,0.0538639227549235,0.7971014492753623,0.04099169746008974,0.7751427316644707,0.05564933473369761,0.4076757162809372,0.02,0.017121076583862305,0.0,1,,,,
iris,lfrog,16,"{'convergence_tol': 0.0001, 'dt': 0.2, 'max_step': 0.5}",3,0.09988490492105484,0.00880764170060874,0.02840598424275716,0.9565217391304349,1.1102230246251565e-16,0.9563512361466325,0.0,0.07415012553334237,0.02,0.013058900833129883,0.0,1,,,,
stroke,sgd,4,"{'lr': 0.01, 'momentum': 0.9}",3,0.15236565470695496,0.0007119973012333046,1.1443227926890056,0.9517601043024772,0.0,0.9282363074693499,0.0,0.1531156414747238,0.02,0.22839903831481934,0.054442662136029066,3,,,,
stroke,scg,4,"{'lambda_init': 1e-07, 'sigma': 0.0005}",3,0.1656711846590042,0.003169689787359056,0.15622337659200033,0.9517601043024772,0.0,0.9282363074693499,0.0,0.1639232039451599,0.02,0.01976609230041504,0.0,1,,,,
stroke,lfrog,4,"{'convergence_tol': 0.0001, 'dt': 0.2, 'max_step': 0.5}",3,0.15286017457644144,0.0017971801315331039,0.08645399411519368,0.9517601043024772,0.0,0.9282363074693499,0.0,0.15357084184885025,0.02,0.057259559631347656,0.012017626523202362,3,,,,
sine,sgd,16,"{'lr': 0.01, 'momentum': 0.9}",3,0.10243813693523407,0.0071781526690145835,0.4233139355977376,,,,,0.0897714065015316,0.02,0.4332127571105957,0.0,1,0.10243813693523407,0.0071781526690145835,0.8209153612454733,0.012549007180820448
sine,scg,16,"{'lambda_init': 1e-07, 'sigma': 0.0005}",3,0.22779278457164764,0.003203106730636454,0.05016326904296875,,,,,0.22538042217493057,0.02,0.011986017227172852,0.0,1,0.2277927796045939,0.003203113660420407,0.6017675598462423,0.005599739009004946
sine,lfrog,16,"{'convergence_tol': 0.0001, 'dt': 0.2, 'max_step': 0.5}",3,0.1210182358821233,0.017456874158728045,0.03256368637084961,,,,,0.10335191577672959,0.02,0.02461695671081543,0.0,1,0.12096450477838516,0.017515319109600993,0.7885271310806274,0.030620671882009246
wine,sgd,8,"{'lr': 0.01, 'momentum': 0.9}",3,0.5547709465026855,0.01096809682784867,1.7470537821451824,,,,,0.5384957957267761,0.02,1.365530252456665,0.0,1,0.5547709465026855,0.01096809682784867,0.2867472767829895,0.01410133457355362
wine,scg,8,"{'lambda_init': 1e-07, 'sigma': 0.0005}",3,0.9635965426762899,0.49038478900536386,0.18929370244344076,,,,,0.6070111048221588,0.02,0.05595207214355469,0.0,1,0.963596522808075,0.4903848038112806,-0.23886781930923462,0.6304733506122722
wine,lfrog,8,"{'convergence_tol': 0.0001, 'dt': 0.2, 'max_step': 0.5}",3,0.5534884532292684,0.0012720617196931062,0.10939661661783855,,,,,0.5611427021026612,0.02,0.0857551097869873,0.006469119648513613,3,0.5531964302062988,0.0016516766798308252,0.2887715895970662,0.002123522308424354
california,sgd,64,"{'lr': 0.01, 'momentum': 0.9}",3,0.46529308954874676,0.18383122943117902,2.175065596898397,,,,,0.3058585077524185,0.02,1.5276479721069336,0.0,1,0.4652930994828542,0.18383122361859744,0.6609370708465576,0.13395934343080462
california,scg,64,"{'lambda_init': 1e-07, 'sigma': 0.0005}",3,0.9016555547714233,0.44106816075077376,1.2753538290659587,,,,,0.5889499747753143,0.02,1.2868578433990479,0.0,1,0.9016555150349935,0.44106810456895357,0.34295620520909625,0.32140997727127635
california,lfrog,64,"{'convergence_tol': 0.0001, 'dt': 0.2, 'max_step': 0.5}",3,0.33821385105450946,0.007122076691160167,0.6834921836853027,,,,,0.3249869853258133,0.02,0.50819993019104,0.0,1,0.33821385105450946,0.007122076691160167,0.7535407940546671,0.0051899311716074896
mnist,sgd,64,"{'lr': 0.01, 'momentum': 0.9}",3,0.18477938572565714,0.008250735647660469,8.292247533798218,0.9542222222222222,0.002060804110110137,0.9542142279858146,0.0020229728182007086,0.17101655691862105,0.02,4.837760925292969,0.14365482330322266,2,,,,
mnist,scg,64,"{'lambda_init': 1e-07, 'sigma': 0.0005}",3,0.6902403632799784,0.00908237623026259,2.47378937403361,0.8491111111111111,0.00611817773241606,0.846858846057367,0.006314677752596641,0.6933674597740174,0.02,2.2980746030807495,0.031496644020080566,2,,,,
mnist,lfrog,64,"{'convergence_tol': 0.0001, 'dt': 0.2, 'max_step': 0.5}",3,0.27170200149218243,0.004448789883936867,1.351404110590617,0.9393333333333334,0.002721655269759059,0.9391513466227562,0.002726920063136777,0.25571463525295257,0.02,1.1574230194091797,0.0,1,,,,
